"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"237351_at",-4.15665473198472,2.95655199630579,-21.2990049781465,1.36358999093772e-42,7.455428275452e-38,86.2365966234475
"214505_s_at",-5.37346542466686,4.41011070527273,-20.6793051127979,2.22380021917967e-41,6.07931384918242e-37,83.4982049862081
"89977_at",-4.36565386561142,3.11606457590909,-20.4184019662156,7.30686292190202e-41,1.33167576751664e-36,82.3304743236397
"230595_at",-3.58264338405543,2.91407675797521,-20.318512878377,1.15479849732e-40,1.43473317031995e-36,81.8810604187831
"214582_at",-4.4090977886397,3.14658973001653,-20.2906984145277,1.31205593993594e-40,1.43473317031995e-36,81.7556887121999
"223764_x_at",-3.50607290562896,2.85191547441322,-19.9863887340559,5.33731768481737e-40,4.86363074028983e-36,80.3774540433815
"219059_s_at",-4.44331503759332,3.00984852873554,-19.7856900729829,1.35513149996475e-39,1.05845449657961e-35,79.4618664703742
"235670_at",-3.58966974250453,2.95757510520661,-19.6287423562426,2.81814087726725e-39,1.92602315580734e-35,78.74220043596
"206930_at",-4.48815015292647,2.96766882066116,-19.5957168474427,3.28885969317818e-39,1.99798226360575e-35,78.5903550032691
"221295_at",-3.93009694573812,3.00111955195041,-19.4875992380066,5.45853756840605e-39,2.98445541552601e-35,78.0922497736741
"222083_at",-5.1308059996957,3.12694300176033,-19.4205584352022,7.47883094355103e-39,3.71731892580593e-35,77.7826186382665
"235201_at",-2.72765178917874,2.85098438920661,-19.3774307736805,9.1609566311126e-39,4.17396086505068e-35,77.5831199751964
"235382_at",-4.14558306146832,3.0033164955124,-19.2235810254351,1.89268621983897e-38,7.96020146689967e-35,76.8694586621788
"230463_at",-3.70458784234898,2.95936227393388,-19.0193085471013,4.98322528829072e-38,1.94612744740925e-34,75.9171015353375
"223727_at",-4.43412520861086,4.11836992513223,-18.8869195009058,9.35876313984414e-38,3.41126916447319e-34,75.2969530077108
"232313_at",-3.79893174463631,5.09337377700826,-18.8542485403829,1.09373586429744e-37,3.73750052377889e-34,75.1435587961066
"206069_s_at",-3.61100601371719,2.85086704899174,-18.8248530084775,1.25854858940376e-37,4.04771436033239e-34,75.0054233680386
"239273_s_at",-3.37498223780713,2.96278552386777,-18.7829662224922,1.53749177244632e-37,4.67013125880569e-34,74.808393083419
"220061_at",-3.61375752206278,3.62321833866942,-18.7053306210297,2.2295304123573e-37,6.41576712082293e-34,74.4425957741961
"204997_at",-5.37890761199378,3.27606224777686,-18.6570083018269,2.81086896282852e-37,7.40667252702641e-34,74.2145150744499
"206262_at",-4.59624949013744,3.25789273910744,-18.6545066178718,2.84481249323374e-37,7.40667252702641e-34,74.2026988174953
"206030_at",-4.68077780768099,3.17096029665289,-18.5469230411182,4.77049813693884e-37,1.14110048688765e-33,73.693770133685
"230282_at",-2.24034958462217,2.72619480572727,-18.5451657036029,4.81101049765554e-37,1.14110048688765e-33,73.6854443715996
"243879_at",-3.58665965451301,3.13142328821488,-18.5367882169019,5.00894589580313e-37,1.14110048688765e-33,73.6457486703507
"1563182_at",-4.83035759268722,4.46505912516529,-18.4968328068714,6.07171607025425e-37,1.3278843045646e-33,73.4562982019872
"1552519_at",-5.83013652149434,3.44225464800826,-18.455631471769,7.40583999046239e-37,1.55736269799435e-33,73.2607209188939
"1555741_at",-2.80764902636369,2.73662678339669,-18.4098900413966,9.23532317376772e-37,1.87015294268796e-33,73.0433317681019
"236383_at",-2.8061477910034,2.88833316715702,-18.2750956339786,1.77280525602449e-36,3.46171883475497e-33,72.4011184777876
"206068_s_at",-3.61965097822681,2.98860108827273,-18.2647977479004,1.86353858504581e-36,3.51341283232343e-33,72.3519575001262
"220736_at",-4.51392137293212,3.02106040386777,-18.1730317231339,2.90914790743515e-36,5.30192206130055e-33,71.9132638355743
"220327_at",-3.53736253410294,3.24145003709091,-18.1281702513024,3.61821617448385e-36,6.38148288193241e-33,71.698399760185
"203295_s_at",-2.41720882546946,2.72662696445455,-18.0731437004329,4.72975241428226e-36,8.08122541409009e-33,71.4344908715987
"239220_at",-3.60988616867873,3.55887075742975,-17.9624567385957,8.11650777949299e-36,1.34475776619327e-32,70.9024355788078
"235708_at",-4.87366573355825,3.14128790842149,-17.9533112910184,8.48744958561125e-36,1.36485678262734e-32,70.8584033172862
"214040_s_at",-2.31259482118099,3.12692081342975,-17.9113079026295,1.04225373003539e-35,1.62814921970529e-32,70.6560310457036
"218934_s_at",-3.60560148502488,2.89090405673554,-17.8505790038845,1.40315281977023e-35,2.13103834502604e-32,70.3630328244042
"238003_at",-4.63872265112726,3.36938450319835,-17.7277048251299,2.56446317902643e-35,3.78951417062891e-32,69.7687347311804
"1558820_a_at",-2.17918153541629,3.07765686007438,-17.7046938921386,2.87166101485597e-35,4.13179121019079e-32,69.6572209561639
"230309_at",-4.41399582168212,3.39014909408264,-17.6510106393183,3.74006150922846e-35,5.24327853889913e-32,69.3967981162373
"230670_at",-2.31945432211877,2.95353248279339,-17.6279493710918,4.19005223390981e-35,5.72727764722547e-32,69.2848107729193
"206209_s_at",-3.81191481538009,2.9575600382314,-17.6158799924865,4.44686563714557e-35,5.93005801733986e-32,69.2261734235575
"229480_at",-3.84014655264876,3.0954742448595,-17.5734547557373,5.48186618117421e-35,7.13621508227857e-32,69.0199066558406
"208383_s_at",-6.17612779389762,3.85453379213223,-17.4835960175766,8.54532151650312e-35,1.08654756724374e-31,68.5822539592221
"241866_at",-3.59916580513744,3.81413986154545,-17.4569433352798,9.74986372369402e-35,1.21153136157493e-31,68.4522425408093
"213325_at",-2.29162043802206,2.87110791766116,-17.4460081717876,1.02921644967306e-34,1.25049798635277e-31,68.3988744107035
"205208_at",-3.34675054348077,3.38799598633058,-17.43886695599,1.06625787591419e-34,1.26734020360018e-31,68.3640139816283
"1558420_at",-4.46789949829751,3.18195381928926,-17.431973651137,1.10328404227192e-34,1.28344797896206e-31,68.3303575038046
"239345_at",-5.19967506404016,3.55853390478512,-17.420340339593,1.1687250847631e-34,1.33125091686297e-31,68.2735440878578
"210807_s_at",-3.67960707253903,3.19773912669422,-17.4095906187342,1.23265966577656e-34,1.37542178012925e-31,68.2210303212149
"231683_at",-3.13536867306278,2.88718729219835,-17.3816077087704,1.41607121662633e-34,1.5484738753809e-31,68.0842602934428
"1556056_at",-2.81629783543439,2.76140168543802,-17.3575013308061,1.59593651838144e-34,1.70227603521775e-31,67.9663563457464
"210963_s_at",-3.79424013389649,2.94026049035537,-17.3543567857218,1.62103348765919e-34,1.70227603521775e-31,67.9509708984088
"206742_at",-4.04087666820079,3.08004860478512,-17.3507723031211,1.6501258320355e-34,1.70227603521775e-31,67.9334313963092
"205609_at",-4.36718638875113,3.86725045470248,-17.3018426903711,2.10395778348244e-34,2.13025725577597e-31,67.6938447446876
"210298_x_at",-5.4623109219242,3.30265242613223,-17.2660983249955,2.51306681943845e-34,2.49821687914176e-31,67.5186256503643
"201539_s_at",-5.63722991083371,3.40805612865289,-17.2146547828107,3.24626977464745e-34,3.16946071301517e-31,67.2661608259885
"1553243_at",-3.86820088589367,3.4952809537438,-17.160414318795,4.25367907103686e-34,4.08017374050772e-31,66.9996018652851
"202884_s_at",-3.70878169572059,3.27704179645455,-17.1407717863012,4.69149937264956e-34,4.42254703792439e-31,66.9029777024607
"231790_at",-2.65922835244514,2.75544055617355,-17.0804462073342,6.34031104853255e-34,5.87553400980538e-31,66.6059195094588
"207537_at",-3.66911326468439,3.03576314296694,-17.0430883756426,7.64202797606205e-34,6.96379799318654e-31,66.4217268797706
"210106_at",-4.51047714802375,4.42142533617355,-17.0052382743934,9.23531735164656e-34,8.27772092133239e-31,66.2349253503545
"220037_s_at",-2.63020441390837,2.70969051886777,-16.9515955974915,1.20820853559383e-33,1.06546454328376e-30,65.9698698090613
"244276_at",-5.43018024749208,3.71474297510744,-16.9310334178193,1.33940574548951e-33,1.16241284340697e-30,65.8681721992857
"239183_at",-1.96647201557692,2.59804213369421,-16.8553465790068,1.95839778625324e-33,1.67305310880306e-30,65.4933727750181
"228540_at",-2.24970002177432,2.8325405567686,-16.8444876619741,2.06822243149062e-33,1.73969325295e-30,65.4395400083468
"228082_at",-2.92344100538858,3.01962364423967,-16.7862192937707,2.77241351068128e-33,2.29669255600756e-30,65.1504209799092
"1558552_s_at",-2.30825414772115,2.70438434279339,-16.7223285124679,3.82477897343314e-33,3.12119090108145e-30,64.8329105537492
